name,headquarters_city,headquarters_state,latitude,longitude
Walmart,Bentonville,AR,36.3728538,-94.2088172
Exxon Mobil,Irving,TX,32.8295183,-96.9442177
Chevron,San Ramon,CA,37.7648021,-121.9544387
Berkshire Hathaway,Omaha,NE,41.2587459,-95.9383758
Apple,Cupertino,CA,37.3228934,-122.0322895
General Motors,Detroit,MI,42.3315509,-83.0466403
Phillips 66,Houston,TX,29.7589382,-95.3676974
General Electric,Fairfield,CT,39.7886111,-82.6418883
Ford Motor,Dearborn,MI,42.3222599,-83.1763145
CVS Health,Woonsocket,RI,42.0028761,-71.5147839
McKesson,San Francisco,CA,37.7790262,-122.419906
AT&T,Dallas,TX,32.7762719,-96.7968559
Valero Energy,San Antonio,TX,29.4246002,-98.4951405
UnitedHealth Group,Minnetonka,MN,44.9405086,-93.4638936
Verizon,New York,NY,40.7127281,-74.0060152
AmerisourceBergen,Chesterbrook,PA,40.0756627,-75.4590816
Fannie Mae,Washington,DC,38.8950368,-77.0365427
Costco,Issaquah,WA,47.5348778,-122.0432974
HP,Palo Alto,CA,37.4443293,-122.1598465
Kroger,Cincinnati,OH,39.1014537,-84.5124602
JP Morgan Chase,New York,NY,40.7127281,-74.0060152
Express Scripts Holding,St. Louis,MO,38.6280278,-90.1910154
Bank of America Corp.,Charlotte,NC,35.2272086,-80.8430827
IBM,Armonk,NY,41.1264847,-73.7139777
Marathon Petroleum,Findlay,OH,41.0413873,-83.6503982
Cardinal Health,Dublin,OH,53.3493795,-6.2605593
Boeing,Chicago,IL,41.8755616,-87.6244212
Citigroup,New York,NY,40.7127281,-74.0060152
Amazon.com,Seattle,WA,47.6038321,-122.330062
Wells Fargo,San Francisco,CA,37.7790262,-122.419906
Microsoft,Redmond,WA,47.6694141,-122.1238767
Procter & Gamble,Cincinnati,OH,39.1014537,-84.5124602
Home Depot,Atlanta,GA,33.7489924,-84.3902644
Archer Daniels Midland,Chicago,IL,41.8755616,-87.6244212
Walgreens,Deerfield,IL,42.1711365,-87.8445119
Target,Minneapolis,MN,44.9772995,-93.2654692
Johnson & Johnson,New Brunswick,NJ,46.500283,-66.750183
Anthem,Indianapolis,IN,39.7683331,-86.1583502
MetLife,New York,NY,40.7127281,-74.0060152
Alphabet,Mountain View,CA,37.3893889,-122.0832101
State Farm Insurance Cos.,Bloomington,IL,39.1670396,-86.5342881
Freddie Mac,McLean,VA,40.4631789,-88.8196613
Comcast,Philadelphia,PA,39.9527237,-75.1635262
PepsiCo,Purchase,NY,41.0409305,-73.7145746
United Technologies,Hartford,CT,41.764582,-72.6908547
AIG,New York,NY,40.7127281,-74.0060152
UPS,Atlanta,GA,33.7489924,-84.3902644
Dow Chemical,Midland,MI,31.83688,-102.0103767
Aetna,Hartford,CT,41.764582,-72.6908547
Lowe's,Mooresville,NC,35.5848596,-80.8100724
ConocoPhillips,Houston,TX,29.7589382,-95.3676974
Intel,Santa Clara,CA,37.2333253,-121.6846349
Energy Transfer Equity,Dallas,TX,32.7762719,-96.7968559
Caterpillar,Peoria,IL,40.6938609,-89.5891008
Prudential Financial,Newark,NJ,40.735657,-74.1723667
Pfizer,New York,NY,40.7127281,-74.0060152
Walt Disney,Burbank,CA,34.1812089,-118.307201
Humana,Louisville,KY,38.2542376,-85.759407
Enterprise Products Partners,Houston,TX,29.7589382,-95.3676974
Cisco Systems,San Jose,CA,37.3361663,-121.890591
Sysco,Houston,TX,29.7589382,-95.3676974
Ingram Micro,Santa Ana,CA,33.7494951,-117.8732213
Coca-Cola,Atlanta,GA,33.7489924,-84.3902644
Lockheed Martin,Bethesda,MD,38.9846816,-77.0942447
FedEx,Memphis,TN,35.1460249,-90.0517638
Johnson Controls,Milwaukee,WI,43.0349931,-87.922497
Plains GP Holdings,Houston,TX,29.7589382,-95.3676974
World Fuel Services,Miami,FL,25.7741728,-80.19362
CHS,Inver Grove Heights,MN,44.8479039,-93.0428119
American Airlines Group,Fort Worth,TX,32.753177,-97.3327459
Merck,Kenilworth,NJ,42.0894728,-87.7149295
Best Buy,Richfield,MN,44.8766431,-93.2877877
Delta Air Lines,Atlanta,GA,33.7489924,-84.3902644
Honeywell International,Morris Township,NJ,40.798799,-74.52084688
HCA Holdings,Nashville,TN,36.1622767,-86.7742984
Goldman Sachs Group,New York,NY,40.7127281,-74.0060152
Tesoro,San Antonio,TX,29.4246002,-98.4951405
Liberty Mutual Insurance Group,Boston,MA,42.3554334,-71.060511
United Continental Holdings,Chicago,IL,41.8755616,-87.6244212
New York Life Insurance,New York,NY,40.7127281,-74.0060152
Oracle,Redwood City,CA,37.4863239,-122.232523
Morgan Stanley,New York,NY,40.7127281,-74.0060152
Tyson Foods,Springdale,AR,36.1867442,-94.1288142
Safeway,Pleasanton,CA,37.6624312,-121.8746789
Nationwide,Columbus,OH,39.9622601,-83.0007065
Deere,Moline,IL,41.5058344,-90.5136642
DuPont,Wilmington,DE,39.7459468,-75.546589
American Express,New York,NY,40.7127281,-74.0060152
Allstate,Northbrook,IL,42.128704,-87.8265089
Cigna,Bloomfield,CT,40.7510398,-92.4143872
Mondelez International,Deerfield,IL,42.1711365,-87.8445119
TIAA-CREF,New York,NY,40.7127281,-74.0060152
INTL FCStone,New York,NY,40.7127281,-74.0060152
Massachusetts Mutual Life Insurance,Springfield,MA,39.7990175,-89.6439575
DirecTV,El Segundo,CA,33.917028,-118.4156337
Halliburton,Houston,TX,29.7589382,-95.3676974
Twenty-First Century Fox,New York,NY,40.7127281,-74.0060152
3M,St. Paul,MN,53.9446204,-111.2100163
Sears Holdings,Hoffman Estates,IL,42.0427256,-88.0792782
General Dynamics,Falls Church,VA,38.882334,-77.1710914
Publix Super Markets,Lakeland,FL,28.0394654,-81.9498042
Philip Morris International,New York,NY,40.7127281,-74.0060152
TJX,Framingham,MA,42.2773177,-71.4165905
Time Warner,New York,NY,40.7127281,-74.0060152
Macy's,Cincinnati,OH,39.1014537,-84.5124602
Nike,Beaverton,OR,45.4871723,-122.80378
Tech Data,Clearwater,FL,27.9658533,-82.8001026
Avnet,Phoenix,AZ,40.3936294,47.7872508
Northwestern Mutual,Milwaukee,WI,43.0349931,-87.922497
McDonald's,Oak Brook,IL,41.8328085,-87.9289504
Exelon,Chicago,IL,41.8755616,-87.6244212
Travelers Cos.,New York,NY,40.7127281,-74.0060152
Qualcomm,San Diego,CA,32.7174202,-117.162772
International Paper,Memphis,TN,35.1460249,-90.0517638
Occidental Petroleum,Houston,TX,29.7589382,-95.3676974
Duke Energy,Charlotte,NC,35.2272086,-80.8430827
Rite Aid,Camp Hill,PA,40.2398118,-76.9199742
Gilead Sciences,Foster City,CA,37.5600336,-122.2688522
Baker Hughes,Houston,TX,29.7589382,-95.3676974
Emerson Electric,St. Louis,MO,38.6280278,-90.1910154
EMC,Hopkinton,MA,42.344072,-91.2482814
USAA,San Antonio,TX,29.4246002,-98.4951405
Union Pacific,Omaha,NE,41.2587459,-95.9383758
Northrop Grumman,Falls Church,VA,38.882334,-77.1710914
Alcoa,New York,NY,40.7127281,-74.0060152
Capital One Financial,McLean,VA,40.4631789,-88.8196613
National Oilwell Varco,Houston,TX,29.7589382,-95.3676974
US Foods,Rosemont,IL,41.9941334,-87.8756737
Raytheon,Waltham,MA,42.3756401,-71.2358004
Time Warner Cable,New York,NY,40.7127281,-74.0060152
Arrow Electronics,Centennial,CO,39.579155,-104.8769227
Aflac,Columbus,GA,39.9622601,-83.0007065
Staples,Framingham,MA,42.2773177,-71.4165905
Abbott Laboratories,Abbott Park,IL,38.771264099999996,-75.13876534
Community Health Systems,Franklin,TN,33.2002659,-95.2231752
Fluor,Irving,TX,32.8295183,-96.9442177
Freeport-McMoRan,Phoenix,AZ,40.3936294,47.7872508
U.S. Bancorp,Minneapolis,MN,44.9772995,-93.2654692
Nucor,Charlotte,NC,35.2272086,-80.8430827
Kimberly-Clark,Irving,TX,32.8295183,-96.9442177
Hess,New York,NY,40.7127281,-74.0060152
Chesapeake Energy,Oklahoma City,OK,35.4729886,-97.5170536
Xerox,Norwalk,CT,41.1175966,-73.4078968
